id;data_of_create;is_name;name;path_file;price;brand_id;type_id
1492;1636242237469;f;Стиральная машина Candy AQUA 2D 1140-07 Aquamatic Tempo;https://holod.ru/pics/140x150/42/437442.jpg;22490;162;6
151;1636240418912;f;Смартфон Apple iPhone 11 64GB Black (MHDA3RU/A);https://holod.ru/pics/140x150/12/701612.jpg;49990;55;2
152;1636240418923;f;Смартфон Apple iPhone 11 128GB Green(MHDN3RU/A);https://holod.ru/pics/140x150/30/701430.jpg;54990;55;2
1494;1636242237505;f;Стиральная машина Candy AQUA 114 D2-07;https://holod.ru/pics/140x150/38/515438.jpg;22499;162;6
156;1636240418943;f;Смартфон Apple IPHONE 13 BLUE 256GB синий (MLP73RU/A);https://holod.ru/pics/140x150/97/774097.jpg;89990;55;2
157;1636240418953;f;Смартфон Apple IPHONE 13 STARLIGHT 128GB сияющая звезда (MLNX3RU/A);https://holod.ru/pics/140x150/57/774057.jpg;79990;55;2
158;1636240418965;f;Смартфон Apple iPhone 12 mini 256GB Green (MGEE3RU/A);https://holod.ru/pics/140x150/10/701610.jpg;68899;55;2
159;1636240418976;f;Смартфон Apple iPhone 12 128GB White (MGJC3RU/A);https://holod.ru/pics/140x150/82/701482.jpg;68899;55;2
1497;1636242237520;f;Стиральная машина Candy CSTG 282 DM/1-07;https://holod.ru/pics/140x150/62/541662.jpg;28990;162;6
161;1636240418988;f;Смартфон Apple iPhone 12 mini 256GB Blue (MGED3RU/A);https://holod.ru/pics/140x150/04/701604.jpg;68899;55;2
162;1636240418998;f;Смартфон Apple iPhone 12 mini 256GB White (MGEA3RU/A);https://holod.ru/pics/140x150/92/701592.jpg;62009;55;2
163;1636240419009;f;Смартфон Apple iPhone 12 128GB Black (MGJA3RU/A);https://holod.ru/pics/140x150/68/701468.jpg;69399;55;2
164;1636240419019;f;Смартфон Apple iPhone 12 128GB Blue (MGJE3RU/A);https://holod.ru/pics/140x150/04/701504.jpg;68899;55;2
165;1636240419030;f;Смартфон Apple iPhone 12 128GB Green (MGJF3RU/A);https://holod.ru/pics/140x150/18/701518.jpg;68899;55;2
166;1636240419041;f;Смартфон Apple iPhone X 256 ГБ серый космос Восстановленный (FQAF2RU/A);https://holod.ru/pics/140x150/04/692004.jpg;46490;55;2
167;1636240419051;f;Смартфон Apple IPHONE XS 256Gb Восстановленный Space Gray (FT9H2RU/A);https://holod.ru/pics/140x150/39/727339.jpg;47299;55;2
168;1636240419061;f;Смартфон Apple iPhone 11 128GB White(MHDJ3RU/A);https://holod.ru/pics/140x150/12/701412.jpg;54099;55;2
169;1636240419072;f;Смартфон Apple iPhone 11 64GB Green (MHDG3RU/A);https://holod.ru/pics/140x150/58/701258.jpg;49199;55;2
170;1636240419083;f;Смартфон Apple iPhone 11 128GB Purple(MHDM3RU/A);https://holod.ru/pics/140x150/24/701424.jpg;53599;55;2
