id;description;title;device_id
7952;Linux OS;Операционная система:;1154
7953;ПК;Тип:;1154
7954;256;Объем SSD (Гб):;1154
7955;Китай;Страна-производитель:;1154
7956;Intel Core i5;Тип процессора:;1155
7957;Intel UHD Graphics 630;Видеокарта:;1155
7958;8000;Объем оперативной памяти (Мб):;1155
7959;DDR4;Тип оперативной памяти:;1155
7960;Windows 10 Professional;Операционная система:;1155
7961;настольный компьютер;Тип:;1155
7962;256;Объем SSD (Гб):;1155
7963;Китай;Страна-производитель:;1155
7964;Intel Core i3;Тип процессора:;1156
7965;Intel UHD Graphics 630;Видеокарта:;1156
7966;4096;Объем оперативной памяти (Мб):;1156
7967;DDR4;Тип оперативной памяти:;1156
7968;Linux OS;Операционная система:;1156
7969;настольный компьютер;Тип:;1156
7970;1000;Объем HDD (Гб):;1156
7971;Китай;Страна-производитель:;1156
7972;Intel Core i3;Тип процессора:;1157
7973;Intel UHD Graphics 630;Видеокарта:;1157
7974;4096;Объем оперативной памяти (Мб):;1157
7975;DDR4;Тип оперативной памяти:;1157
7976;Windows 10 Professional;Операционная система:;1157
7977;ПК;Тип:;1157
7978;128;Объем SSD (Гб):;1157
7979;Китай;Страна-производитель:;1157
7980;Intel Core i3;Тип процессора:;1158
