id;description;title;device_id
8278;Intel Core i3;Тип процессора:;1195
8279;Intel UHD Graphics;Видеокарта:;1195
8280;без ОС;Операционная система:;1195
8281;неттоп;Тип:;1195
8282;Китай;Страна-производитель:;1195
8283;144.5x55.5x57;Габариты (ВxШxГ) (см):;1196
8284;металлик;Цвет:;1196
8285;212;Холодильника (л) :;1196
8286;166;Холодильной камеры (л) :;1196
8287;46;Морозильной камеры (л) :;1196
8288;Узбекистан;Страна-производитель:;1196
8289;155x55.5x60;Габариты (ВxШxГ) (см):;1197
8290;белый;Цвет:;1197
8291;242;Холодильника (л) :;1197
8292;187;Холодильной камеры (л) :;1197
8293;55;Морозильной камеры (л) :;1197
8294;Казахстан;Страна-производитель:;1197
8295;186.5x59.5x60;Габариты (ВxШxГ) (см):;1198
8296;белый;Цвет:;1198
8297;310;Холодильника (л) :;1198
8298;214;Холодильной камеры (л) :;1198
8299;96;Морозильной камеры (л) :;1198
8300;Россия;Страна-производитель:;1198
8301;186.5x59.5x60;Габариты (ВxШxГ) (см):;1199
8302;нержавеющая сталь;Цвет:;1199
8303;301;Холодильника (л) :;1199
8304;207;Холодильной камеры (л) :;1199
8305;94;Морозильной камеры (л) :;1199
8306;Россия;Страна-производитель:;1199
8307;158x54x60;Габариты (ВxШxГ) (см):;1200
8308;серебристый;Цвет:;1200
8309;240;Холодильника (л) :;1200
8310;175;Холодильной камеры (л) :;1200
8311;65;Морозильной камеры (л) :;1200
8312;Россия;Страна-производитель:;1200
8313;203x60x66;Габариты (ВxШxГ) (см):;1201
8314;белый;Цвет:;1201
8315;419;Холодильника (л) :;1201
8316;290;Холодильной камеры (л) :;1201
8317;129;Морозильной камеры (л) :;1201
8318;Россия;Страна-производитель:;1201
8319;191x58x61;Габариты (ВxШxГ) (см):;1202
8320;слоновая кость;Цвет:;1202
8321;349;Холодильника (л) :;1202
8322;209;Холодильной камеры (л) :;1202
8323;140;Морозильной камеры (л) :;1202
8324;Россия;Страна-производитель:;1202
8325;196x58x61;Габариты (ВxШxГ) (см):;1203
8326;слоновая кость (бежевый);Цвет:;1203
8327;360;Холодильника (л) :;1203
8328;259;Холодильной камеры (л) :;1203
8329;101;Морозильной камеры (л) :;1203
8330;Россия;Страна-производитель:;1203
8331;196x58x61;Габариты (ВxШxГ) (см):;1204
8332;снежная королева;Цвет:;1204
8333;360;Холодильника (л) :;1204
8334;259;Холодильной камеры (л) :;1204
8335;101;Морозильной камеры (л) :;1204
8336;Россия;Страна-производитель:;1204
8337;201x58x61;Габариты (ВxШxГ) (см):;1205
8338;белый;Цвет:;1205
8339;365;Холодильника (л) :;1205
8340;225;Холодильной камеры (л) :;1205
8341;140;Морозильной камеры (л) :;1205
8342;Россия;Страна-производитель:;1205
8343;181x58x61;Габариты (ВxШxГ) (см):;1206
8344;дуб;Цвет:;1206
8345;326;Холодильника (л) :;1206
8346;225;Холодильной камеры (л) :;1206
8347;101;Морозильной камеры (л) :;1206
8348;Россия;Страна-производитель:;1206
8349;201x58x61;Габариты (ВxШxГ) (см):;1207
8350;двери - ламинированные нержавеющая сталь, боковые панели - серебристый металлик;Цвет:;1207
8351;365;Холодильника (л) :;1207
8352;225;Холодильной камеры (л) :;1207
8353;140;Морозильной камеры (л) :;1207
8354;Россия;Страна-производитель:;1207
8355;196x58x61;Габариты (ВxШxГ) (см):;1208
8356;дуб;Цвет:;1208
8357;360;Холодильника (л) :;1208
8358;259;Холодильной камеры (л) :;1208
8359;101;Морозильной камеры (л) :;1208
8360;Россия;Страна-производитель:;1208
8361;191x58x61;Габариты (ВxШxГ) (см):;1209
8362;золотистый;Цвет:;1209
8363;349;Холодильника (л) :;1209
8364;209;Холодильной камеры (л) :;1209
8365;140;Морозильной камеры (л) :;1209
8366;Россия;Страна-производитель:;1209
8367;154x58x61;Габариты (ВxШxГ) (см):;1210
8368;графит;Цвет:;1210
8369;270;Холодильника (л) :;1210
8370;200;Холодильной камеры (л) :;1210
8371;70;Морозильной камеры (л) :;1210
8372;Россия;Страна-производитель:;1210
8373;171x58x61;Габариты (ВxШxГ) (см):;1211
8374;металлик искристый;Цвет:;1211
8375;310;Холодильника (л) :;1211
8376;209;Холодильной камеры (л) :;1211
8377;101;Морозильной камеры (л) :;1211
8378;Россия;Страна-производитель:;1211
8379;185x60x59.2;Габариты (ВxШxГ) (см):;1212
8380;серебристый;Цвет:;1212
8381;320;Холодильника (л) :;1212
8382;210;Холодильной камеры (л) :;1212
8383;110;Морозильной камеры (л) :;1212
8384;Китай;Страна-производитель:;1212
8385;200x60x59.2;Габариты (ВxШxГ) (см):;1213
8386;белый;Цвет:;1213
8387;353;Холодильника (л) :;1213
8388;243;Холодильной камеры (л) :;1213
8389;110;Морозильной камеры (л) :;1213
8390;Сербия;Страна-производитель:;1213
8391;186x59.5x59;Габариты (ВxШxГ) (см):;1214
8392;белый;Цвет:;1214
8393;323;Холодильника (л) :;1214
